lv,salary,p0,p1,p2,p3,com,gov
1,24000,338,676,1014,1352,1067,178
2,25200,355,710,1065,1420,1120,187
3,26400,371,742,1113,1484,1174,196
4,27600,388,776,1164,1552,1227,205
5,28800,405,810,1215,1620,1280,213
6,30300,426,852,1278,1704,1347,225
7,31800,447,894,1341,1788,1414,236
8,33300,469,938,1407,1876,1481,247
9,34800,490,980,1470,1960,1547,258
10,36300,511,1022,1533,2044,1614,269
11,38200,537,1074,1611,2148,1698,283
12,40100,564,1128,1692,2256,1783,297
13,42000,591,1182,1773,2364,1867,311
14,43900,618,1236,1854,2472,1952,325
15,45800,644,1288,1932,2576,2036,339
16,48200,678,1356,2034,2712,2143,357
17,50600,712,1424,2136,2848,2250,375
18,53000,746,1492,2238,2984,2356,393
19,55400,779,1558,2337,3116,2463,411
20,57800,813,1626,2439,3252,2570,428
21,60800,855,1710,2565,3420,2703,451
22,63800,898,1796,2694,3592,2837,473
23,66800,940,1880,2820,3760,2970,495
24,69800,982,1964,2946,3928,3103,517
25,72800,1024,2048,3072,4096,3237,539
26,76500,1076,2152,3228,4304,3401,567
27,80200,1128,2256,3384,4512,3566,594
28,83900,1180,2360,3540,4720,3730,622
29,87600,1233,2466,3699,4932,3895,649
30,92100,1296,2592,3888,5184,4095,682
31,96600,1359,2718,4077,5436,4295,716
32,101100,1422,2844,4266,5688,4495,749
33,105600,1486,2972,4458,5944,4695,783
34,110100,1549,3098,4647,6196,4895,816
35,115500,1625,3250,4875,6500,5135,856
36,120900,1701,3402,5103,6804,5375,896
37,126300,1777,3554,5331,7108,5615,936
38,131700,1853,3706,5559,7412,5856,976
39,137100,1929,3858,5787,7716,6096,1016
40,142500,2005,4010,6015,8020,6336,1056
41,147900,2081,4162,6243,8324,6576,1096
42,150000,2111,4222,6333,8444,6669,1112
43,156400,2201,4402,6603,8804,6954,1159
44,162800,2291,4582,6873,9164,7238,1206
45,169200,2381,4762,7143,9524,7523,1254
46,175600,2471,4942,7413,9884,7807,1301
47,182000,2561,5122,7683,10244,8092,1349
